Rank,Title,basename,Genre,ESRB_Rating,Platform,PublisherName,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,img_url
523,Sonic Heroes,sonic-heroes,Platform,E,PS2,Sega,Sonic Team,6.6,,3.16,,,,,,2004,https://www.vgchartz.com/games/boxart/6747618ccc.jpg
524,Club Penguin: Elite Penguin Force,club-penguin-elite-penguin-force,Adventure,E,DS,Disney Interactive Studios,1st Playable Productions,7,,,3.14,1.87,0.97,,0.3,2008,https://www.vgchartz.com/games/boxart/full_527262AmericaFrontccc.jpg
525,FIFA Soccer 08,fifa-soccer-08,Sports,E,PS2,EA Sports,EA Canada,,,,3.14,0.68,0,,2.46,2007,https://www.vgchartz.com/games/boxart/4612940ccc.jpg
526,FIFA 18,fifa-18,Sports,E,XOne,EA Sports,EA Vancouver,8,,,3.14,0.98,1.92,,0.23,2017,https://www.vgchartz.com/games/boxart/full_6019647AmericaFrontccc.jpg
527,Spider-Man,spider-man,Action,E,PS,Activision,Neversoft Entertainment,,,,3.13,1.7,1.25,0.02,0.16,2000,https://www.vgchartz.com/games/boxart/5099878ccc.jpg
528,Need for Speed III: Hot Pursuit,need-for-speed-iii-hot-pursuit,Racing,E,PS,Electronic Arts,EA Canada,,,,3.12,2.14,0.86,,0.13,1998,https://www.vgchartz.com/games/boxart/4212814ccc.jpg
529,The Elder Scrolls IV: Oblivion,the-elder-scrolls-iv-oblivion,Role-Playing,M,PS3,Bethesda Softworks,4J Studios,9.3,,,3.12,1.69,0.86,0.14,0.44,2007,https://www.vgchartz.com/games/boxart/full_1480417AmericaFrontccc.jpg
530,Star Wars Episode I Racer,star-wars-episode-i-racer,Racing,E,N64,LucasArts,LucasArts,8.7,,3.12,,,,,,1999,https://www.vgchartz.com/games/boxart/full_8967697AmericaFrontccc.jpg
531,Tekken 6,tekken-6,Fighting,T,PS3,Namco Bandai,Namco Bandai Games,7.9,,3.12,,,,,,2009,https://www.vgchartz.com/games/boxart/full_6306253AmericaFrontccc.jpg
532,Yoshi,yoshi,Puzzle,,GB,Nintendo,Game Freak,,,3.12,,,,,,1992,https://www.vgchartz.com/games/boxart/full_7973709AmericaFrontccc.jpg
533,Resident Evil 6,resident-evil-6,Action,M,PS3,Capcom,Capcom,,,,3.12,0.88,0.97,0.88,0.39,2012,https://www.vgchartz.com/games/boxart/full_8142222AmericaFrontccc.jpg
